Бүртгэлийн дугаар,Худалдааны нэр,Олон улсын нэршилТун хэмжээNo,Эмийн хэлбэр ,Олгох нөхцөл,Үйлдвэрлэгчийн нэр,Улс,Хүчинтэй хугацаа,Бүртгүүлсэн байгууллага,Бүртгэлийн дугаар.1,Баркод,Баркод.1,,
F20130409AP03282,Панто-денк 40,Пантопразол,40мг,28,бүрхүүлтэй шахмал,Жороор,"Advance Pharma GmbH, Germany for Denk Pharma GmbH & Co. KG, Germany",Герман,2023.04.09,Денк фарма ХХК,4031571055171,,
F20130409JP03279,Ванкомицин,Ванкомицин,1г,50,тарилгын уусмал бэлтгэх нунтаг,Жороор,Kraspharma JSC,ОХУ,2023.04.09,Энто ХХК,4602521009119,,
F20130409JP03283,Лево-денк 500,Левофлоксацин,500мг,10,бүрхүүлтэй шахмал,Жороор,Rottendorf Pharma GMBH,Герман,2023.04.09,Денк фарма ХХК,4031571058615,,
F20130409JP03283,Лево-денк 500,Левофлоксацин,500мг,5,бүрхүүлтэй шахмал,Жороор,Rottendorf Pharma GMBH,Герман,2023.04.09,Денк фарма ХХК, ,,
F20130409MP03267,Вольтарен рапид,Диклофенак,50мг,20,бүрхүүлтэй шахмал,Жороор,Novartis Saglik Gida Ve Tarim Urunleri Sanayi Ve Ticaret A.S,Турк,2023.04.09,Моносфарм Трейд ХХК,7612797195239,,
F20130409NP03280,Налтрексон,Налтрексон,50мг,30,бүрхүүлтэй шахмал,Жороор,"Rusan Pharma Ltd.,",БНЭУ,2023.04.09,Барагшун фарм ХХК,8901087676787,,
F20130409NP03284,Трамадол денк 50,Трамадолын гидрохлорид,50мг,10,уусдаг шахмал,Жороор,"Losan Pharma GmbH, Germany for Denk Pharma GmbH & Co.KG, Germany",Герман,2023.04.09,Денк фарма ХХК,4031571057281,,
F20130409RP03265,Онбрез бризхайлер,Индакатерол,150 мкг,30,капсул,Эмнэлгийн нөхцөлд хэрэглэнэ,Novartis Pharma Stein AG,Швейцари,2023.04.09,Монголэмимпекс ХХК,7680601410014,,
F20130409SO03268,Начу уру баланс,Калийн аспартат + Глюкоз + Натрийн хлорид + Калийн хлорид,15мл,1,нүдний дусал,Жороор,Saga Pharmaceutical Co.Ltd,Япон,2023.04.09,Монголэмимпекс ХХК,498733256040,,
F20130621JP03321,Мегасеф,Цефуроксим,250мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,Nobel Ilac Sanayii Ve Ticaret A.S,Турк,2023.06.21,Монголэмимпекс ХХК, ,,
F20130621NP03312,Карбамазепин,Карбамазепин,200мг,50,шахмал,Жороор,"Rusan Pharma Ltd.,",БНЭУ,2023.06.21,Барагшун фарм ХХК,8901087674271,,
F20130708CP03343,Бидоп,Бисопролол,5мг,14,шахмал,Жороор,Gedeon Richter PLC,Унгар,2023.07.08,Гедеон Рихтер ТГ, ,,
F20130708CP03343,Бидоп,Бисопролол,5мг,28,шахмал,Жороор,Gedeon Richter PLC,Унгар,2023.07.08,Гедеон Рихтер ТГ,4605469002235,,
F20130708CP03343,Бидоп,Бисопролол,5мг,56,шахмал,Жороор,Gedeon Richter PLC,Унгар,2023.07.08,Гедеон Рихтер ТГ, ,,
F20130708CP03344,Бидоп,Бисопролол,10мг,14,шахмал,Жороор,Gedeon Richter PLC,Унгар,2023.07.08,Гедеон Рихтер ТГ, ,,
F20130708CP03344,Бидоп,Бисопролол,10мг,28,шахмал,Жороор,Gedeon Richter PLC,Унгар,2023.07.08,Гедеон Рихтер ТГ,4605469002242,,
F20130708CP03344,Бидоп,Бисопролол,10мг,56,шахмал,Жороор,Gedeon Richter PLC,Унгар,2023.07.08,Гедеон Рихтер ТГ, ,,
F20130708GO03345,Витапрост,Простатын ханд,20мг,20,шахмал,Жоргүй,Nizhpharm JSC,ОХУ,2023.07.08,"""Нижегородский химико-фармацевтический завод""-ийн төлөөлөгчийн газар",4601026307355,,
F20130925AP03400,Глюкофаж,Метформин,500мг,60,бүрхүүлтэй шахмал,Жороор,Merck Sante S.A.S,Франц,2023.09.25,Моносфарм Трейд ХХК, ,,
F20130925AP03401,Глюкофаж,Метформин,850мг,60,бүрхүүлтэй шахмал,Жороор,Merck Sante S.A.S,Франц,2023.09.25,Моносфарм Трейд ХХК,3596540010076,,
F20130925AP03402,Глюкофаж,Метформин,1000мг,60,бүрхүүлтэй шахмал,Жороор,Merck Sante S.A.S,Франц,2023.09.25,Моносфарм Трейд ХХК, ,,
F20130925AP03403,Глюкофаж ХР,Метформин,500мг,30,уртасгасан үйлдэлтэй шахмал,Жороор,Merck Sante S.A.S,Франц,2023.09.25,Моносфарм Трейд ХХК,3596540070100,,
